clean_symbol,token,name
HARSHA,11162,HARSHA
COFFEEDAY,11165,COFFEEDAY
JSL,11236,JSL
HDFCGROWTH,11241,HDFCGROWTH
PETRONET,11351,PETRONET
TIPSFILMS,11374,TIPSFILMS
KRITINUT,11432,KRITINUT
TCS,11536,TCS
GTL,1162,GTL
KOTARISUG,11647,KOTARISUG
SHOPERSTOP,11813,SHOPERSTOP
AMBER,1185,AMBER
PRIMESECU,11864,PRIMESECU
MANINDS,11884,MANINDS
YESBANK,11915,YESBANK
SYNCOMF,11992,SYNCOMF
ACI,12024,ACI
HNDFDS,12173,HNDFDS
TEAMLEASE,12716,TEAMLEASE
HYBRIDFIN,12809,HYBRIDFIN
CELEBRITY,13162,CELEBRITY
SAKUMA,13251,SAKUMA
LANDMARK,13276,LANDMARK
GALLANTT,13337,GALLANTT
MUNJALAU,13511,MUNJALAU
EMAMILTD,13517,EMAMILTD
AERONEU,13689,AERONEU
GTLINFRA,13745,GTLINFRA
LTFOODS,13816,LTFOODS
SOBHA,13826,SOBHA
MMFL,13844,MMFL
HIRECT,13890,HIRECT
PLASTIBLEN,13920,PLASTIBLEN
PARACABLES,13951,PARACABLES
GANDHITUBE,14116,GANDHITUBE
PITTIENG,14134,PITTIENG
NINSYS,14194,NINSYS
VIYASH,14296,VIYASH
OSWALSEEDS,14305,OSWALSEEDS
APOLLOPIPE,14361,APOLLOPIPE
IDEA,14366,IDEA
GODREJAGRO,144,GODREJAGRO
JKTYRE,14435,JKTYRE
NAHARPOLY,14445,NAHARPOLY
GOLDBETA,14535,GOLDBETA
TGBHOTELS,14607,TGBHOTELS
LOWVOL,14786,LOWVOL
DECCANCE,14838,DECCANCE
IFBIND,1485,IFBIND
KDDL,14908,KDDL
IFCI,1491,IFCI
MAANALU,15017,MAANALU
ENERGYDEV,15049,ENERGYDEV
ADANIPORTS,15083,ADANIPORTS
PATINTLOG,15219,PATINTLOG
RAIN,15337,RAIN
SHALPAINTS,15342,SHALPAINTS
HCG,15555,HCG
TARC,1581,TARC
BHARATWIRE,16123,BHARATWIRE
PAVNAIND,16192,PAVNAIND
ITC,1660,ITC
ANIKINDS,16657,ANIKINDS
BAJAJ-AUTO,16669,BAJAJ-AUTO
IVP,1681,IVP
VINYLINDIA,16821,VINYLINDIA
20MICRONS,16921,20MICRONS
CROMPTON,17094,CROMPTON
JAYSREETEA,1720,JAYSREETEA
NHPC,17400,NHPC
MAHEPC,17603,MAHEPC
PSUBANKADD,17616,PSUBANKADD
NIITMTS,17747,NIITMTS
REFEX,17764,REFEX
TREL,17795,TREL
QUAL30IETF,17808,QUAL30IETF
LTM,17818,LTM
KANPRPLA,1782,KANPRPLA
DBCORP,17881,DBCORP
ADVENZYMES,18039,ADVENZYMES
CONCORDBIO,18060,CONCORDBIO
NIFTY1,18102,NIFTY1
DBREALTY,18124,DBREALTY
ORIENTLTD,18208,ORIENTLTD
KAMATHOTEL,1826,KAMATHOTEL
VPRPL,18341,VPRPL
PERSISTENT,18365,PERSISTENT
POWERINDIA,18457,POWERINDIA
KESORAMIND,1859,KESORAMIND
MAZDA,18866,MAZDA
KSL,18889,KSL
KINGFA,18944,KINGFA
MANAPPURAM,19061,MANAPPURAM
G1NSETEST,12842,G1NSETEST
VIMTALABS,13101,VIMTALABS
REPRO,13126,REPRO
INDOTECH,13275,INDOTECH
AFSL,13288,AFSL
HDFCBANK,1333,HDFCBANK
KEI,13310,KEI
SGL,13367,SGL
AVONMORE,13557,AVONMORE
GRINDWELL,13560,GRINDWELL
ANANTRAJ,13620,ANANTRAJ
BANKADD,13644,BANKADD
NRL,13675,NRL
DONEAR,13839,DONEAR
VENUSREM,13859,VENUSREM
LIQUID1,13950,LIQUID1
VEEDOL,14019,VEEDOL
SARLAPOLY,14043,SARLAPOLY
HINDPETRO,1406,HINDPETRO
SANGHVIMOV,14058,SANGHVIMOV
PTL,14101,PTL
UNOMINDA,14154,UNOMINDA
CTE,14218,CTE
HBS500INAV,14239,HBS500INAV
GANESHHOU,14339,GANESHHOU
BANSWRAS,14511,BANSWRAS
SRHHYPOLTD,14582,SRHHYPOLTD
PSUBNKIETF,14584,PSUBNKIETF
ALPHAGEO,14597,ALPHAGEO
NELCAST,14761,NELCAST
101NSETEST,14772,101NSETEST
MOGSEC,1507,MOGSEC
KALYANIFRG,15156,KALYANIFRG
BIRLAMONEY,15239,BIRLAMONEY
CEATLTD,15254,CEATLTD
RECLTD,15355,RECLTD
GILLETTE,1576,GILLETTE
EBBETF0430,16253,EBBETF0430
LINDEINDIA,1627,LINDEINDIA
SUNDROP,1663,SUNDROP
QNIFTY,16819,QNIFTY
JBCHEPHARM,1726,JBCHEPHARM
SENCO,17271,SENCO
MHRIL,17333,MHRIL
GLOBUSSPR,17424,GLOBUSSPR
NETWEB,17433,NETWEB
SETCO,17514,SETCO
JINDALPOLY,1756,JINDALPOLY
SUNTECK,17641,SUNTECK
LTGILTBEES,17700,LTGILTBEES
DEN,17722,DEN
ASTEC,17728,ASTEC
YATHARTH,17738,YATHARTH
LLOYDSENGG,17801,LLOYDSENGG
JYOTISTRUC,1802,JYOTISTRUC
COHANCE,17945,COHANCE
EMMBI,18142,EMMBI
KECL,18220,KECL
LORDSCHLO,18232,LORDSCHLO
SPAL,18252,SPAL
KANORICHEM,1835,KANORICHEM
NIM150INAV,18353,NIM150INAV
NUVAMA,18721,NUVAMA
ENDURANCE,18822,ENDURANCE
VERTOZ,18863,VERTOZ
VBL,18921,VBL
MVGJL,19015,MVGJL
SILLYMONKS,19097,SILLYMONKS
HISARMETAL,19322,HISARMETAL
IRMENERGY,19597,IRMENERGY
ITETF,19633,ITETF
ALPHAETF,19640,ALPHAETF
RADIOCITY,19877,RADIOCITY
AHLADA,2004,AHLADA
INTENTECH,20071,INTENTECH
TASTYBITE,20092,TASTYBITE
UNIDT,201,UNIDT
CANTABIL,20160,CANTABIL
LUMAXIND,2018,LUMAXIND
SHAH,20296,SHAH
FEDFINA,20322,FEDFINA
CGCL,20329,CGCL
FLAIR,20372,FLAIR
HOMEFIRST,2056,HOMEFIRST
SUPERHOUSE,20616,SUPERHOUSE
JINDWORLD,20642,JINDWORLD
MOTISONS,20788,MOTISONS
MARALOVER,2112,MARALOVER
COCHINSHIP,21508,COCHINSHIP
EBBE23INAV,10012,EBBE23INAV
SCHAEFFLER,1011,SCHAEFFLER
MOM100INAV,10122,MOM100INAV
MOM50INAV,10127,MOM50INAV
SHYAMCENT,10188,SHYAMCENT
SHAREINDIA,104,SHAREINDIA
MUTHOOTCAP,10415,MUTHOOTCAP
LUPIN,10440,LUPIN
MOHEALTH,10508,MOHEALTH
MPSLTD,10578,MPSLTD
TEAMGTY,10717,TEAMGTY
SPORTKING,10733,SPORTKING
UNIONBANK,10753,UNIONBANK
NUCLEUS,10791,NUCLEUS
GRMOVER,10871,GRMOVER
HDFCSILVER,10876,HDFCSILVER
GENESYS,10905,GENESYS
CNL,11155,CNL
INDORAMA,10993,INDORAMA
INDIGO,11195,INDIGO
HDFCVALUE,11260,HDFCVALUE
GHCL,1127,GHCL
SIL,11297,SIL
EXCELINDUS,11471,EXCELINDUS
FORCEMOT,11573,FORCEMOT
EMIL,11530,EMIL
COFORGE,11543,COFORGE
GUFICBIO,11606,GUFICBIO
NTPC,11630,NTPC
DWARKESH,11667,DWARKESH
XCHANGING,11705,XCHANGING
JSWSTEEL,11723,JSWSTEEL
GOKEX,11778,GOKEX
EVEREADY,11782,EVEREADY
GRANULES,11872,GRANULES
VHL,11892,VHL
RML,11975,RML
RUSTOMJEE,12219,RUSTOMJEE
MBAPL,12686,MBAPL
GFLLIMITED,1289,GFLLIMITED
NAHARINDUS,13106,NAHARINDUS
GALAXYSURF,1315,GALAXYSURF
PVRINOX,13147,PVRINOX
GSPL,13197,GSPL
VISASTEEL,13295,VISASTEEL
CENTURYPLY,13305,CENTURYPLY
SOLARINDS,13332,SOLARINDS
ELIN,13423,ELIN
NECCLTD,13522,NECCLTD
RAMANEWS,13565,RAMANEWS
VOLTAMP,13577,VOLTAMP
ALICON,13656,ALICON
MADHUCON,13671,MADHUCON
PARSVNATH,13791,PARSVNATH
BAIDFIN,13794,BAIDFIN
KAMOPAINTS,13814,KAMOPAINTS
RUCHIRA,13821,RUCHIRA
KUANTUM,13870,KUANTUM
JINDRILL,13875,JINDRILL
HINDUNILVR,1394,HINDUNILVR
HINDZINC,1424,HINDZINC
HSM250INAV,14243,HSM250INAV
TVSSRICHAK,14245,TVSSRICHAK
HSCL,14334,HSCL
AMDIND,14398,AMDIND
RAJTV,14403,RAJTV
NCLIND,14490,NCLIND
HILTON,14627,HILTON
GUJAPOLLO,14677,GUJAPOLLO
TIMETECHNO,14707,TIMETECHNO
041NSETEST,14755,041NSETEST
